date,averageTemperature,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,diurnalTemperature
1/1/2021,-4.2,1.6,14:47,-9.8,5:11,11.4
1/2/2021,-5,-1.4,13:46,-8.4,8:05,7
1/3/2021,-5.6,-2,12:38,-9.1,5:36,7.1
1/4/2021,-3.5,0.3,15:35,-8.4,6:56,8.7
1/5/2021,-5.5,-2.1,0:01,-9.9,23:56,7.8
1/6/2021,-7.4,-1.9,15:47,-12,7:02,10.1
1/7/2021,-14.5,-8.4,0:01,-16.5,8:02,8.1
1/8/2021,-14.9,-10.7,14:50,-18.6,8:12,7.9
1/9/2021,-12.2,-7.5,16:02,-16.6,6:14,9.1
1/10/2021,-7.7,-2.7,14:06,-12.8,5:38,10.1
1/11/2021,-6.7,-4,14:52,-9.6,5:02,5.6
1/12/2021,-3.9,-0.5,14:17,-9.3,6:57,8.8
1/13/2021,2,8.3,14:58,-3,4:30,11.3
1/14/2021,1.7,7,15:06,-3.6,7:49,10.6
1/15/2021,4.5,9.9,13:03,-0.7,23:57,10.6
1/16/2021,-4.9,-0.7,0:01,-8.7,23:49,8
1/17/2021,-5.5,-1.3,15:16,-10.8,8:00,9.5
1/18/2021,-3.8,0.2,13:25,-9.1,23:56,9.3
1/19/2021,-6.3,-0.2,15:37,-11.6,7:53,11.4
1/20/2021,-0.1,7.1,15:59,-6.6,5:13,13.7
1/21/2021,4.5,7,13:37,2.5,0:01,4.5
1/22/2021,5.5,6.6,13:56,4.8,0:05,1.8
1/23/2021,7.6,12.2,15:04,4.8,0:12,7.4
1/24/2021,7.3,13.9,15:10,2.4,7:58,11.5
1/25/2021,7.9,13.9,15:27,3,5:42,10.9
1/26/2021,5.3,7.4,0:01,1.7,23:57,5.7
1/27/2021,1.7,6.5,14:00,-1.8,7:59,8.3
1/28/2021,-2.6,1.4,9:40,-9.7,23:52,11.1
1/29/2021,-8.8,-4.9,15:56,-11.6,5:56,6.7
1/30/2021,-1.6,5.2,16:14,-8.1,0:01,13.3
1/31/2021,3.2,8.7,15:17,-3.8,5:42,12.5
2/1/2021,5,9.5,13:20,-2.3,23:57,11.8
2/2/2021,-5.6,-2.4,0:01,-8.2,7:56,5.8
2/3/2021,-3.2,1.4,13:37,-9.4,3:35,10.8
2/4/2021,-3.6,0.7,15:54,-7.4,7:32,8.1
2/5/2021,1.4,6.7,15:32,-4.4,0:01,11.1
2/6/2021,6.8,9.5,14:05,4.3,0:01,5.2
2/7/2021,3.6,7.7,14:41,-2.6,23:52,10.3
2/8/2021,-3.1,0.2,15:17,-5.4,7:34,5.6
2/9/2021,-0.9,4.7,15:51,-6.1,4:15,10.8
2/10/2021,3.4,7.2,15:09,-1.5,3:39,8.7
2/11/2021,5.5,10.9,16:06,1.3,6:15,9.6
2/12/2021,6.5,14,15:07,0.6,7:22,13.4
2/13/2021,7.6,15.9,14:44,1,7:58,14.9
2/14/2021,9.5,13.8,12:44,6.4,7:03,7.4
2/15/2021,1.2,8.2,0:01,-5.2,23:39,13.4
2/16/2021,-5.1,-1.3,17:07,-7,23:58,5.7
2/17/2021,-8.3,-5.2,14:53,-10.4,7:19,5.2
2/18/2021,-5.8,-0.4,16:31,-10.6,6:12,10.2
2/19/2021,1.6,8.9,15:53,-7.1,5:37,16
2/20/2021,8.8,14.9,15:45,5.5,0:01,9.4
2/21/2021,10.8,17.4,13:47,4.7,7:23,12.7
2/22/2021,7.8,12.6,12:20,0.4,23:58,12.2
2/23/2021,0,4.3,15:21,-3.1,7:33,7.4
2/24/2021,2.9,10.1,15:17,-3,7:20,13.1
2/25/2021,4.2,8.2,15:27,0.7,4:06,7.5
2/26/2021,8.2,15.8,15:06,0.5,7:21,15.3
2/27/2021,9.5,16.2,16:01,4.3,6:36,11.9
2/28/2021,7.8,10.8,16:07,3.2,7:17,7.6
3/1/2021,4.7,9,0:01,0.5,23:24,8.5
3/2/2021,2.3,6.9,15:43,0.2,3:52,6.7
3/3/2021,4.4,9.9,16:27,-1.2,6:56,11.1
3/4/2021,7.2,13,15:59,2.5,3:10,10.5
3/5/2021,9,16.2,15:18,3,7:29,13.2
3/6/2021,6.6,11.6,12:16,3.2,23:57,8.4
3/7/2021,6.2,12.2,14:23,2.1,6:59,10.1
3/8/2021,7,13.9,14:25,1.5,7:06,12.4
3/9/2021,6.6,12.2,14:33,2.1,5:50,10.1
3/10/2021,8.8,17.1,15:39,1.7,7:04,15.4
3/11/2021,10.2,17.1,14:36,4.7,7:20,12.4
3/12/2021,10.5,14.9,12:40,7.2,23:53,7.7
3/13/2021,9.2,14.2,14:36,4.6,6:50,9.6
3/14/2021,9.1,14.7,15:41,4.9,7:01,9.8
3/15/2021,10.6,15.7,14:46,5.1,6:02,10.6
3/16/2021,8.4,13.1,14:38,4.9,23:56,8.2
3/17/2021,8.8,17.5,16:13,1.8,6:28,15.7
3/18/2021,11.7,18.4,16:04,5,5:40,13.4
3/19/2021,15.3,20.2,15:10,11.4,6:40,8.8
3/20/2021,9.9,14.7,0:01,7.4,23:46,7.3
3/21/2021,5.8,8.6,14:27,3.1,23:55,5.5
3/22/2021,6.2,11.1,13:49,1.1,6:53,10
3/23/2021,9.1,16.4,14:18,2.5,5:18,13.9
